BeamSearchBot;BestMCTS3;BestMCTS5;CamelCaseBot;DecisionTreeBot;MCTSBot;MaxPrestigeBot;RandomSimulationBot
 78.57; 57.14; 71.43; 57.14; 57.14; 42.86;  0.00; 35.71
 57.14; 75.00; 78.57; 57.14; 57.14; 50.00;  0.00; 25.00
 52.38; 76.19; 78.57; 57.14; 54.76; 54.76;  2.38; 23.81
 51.79; 82.14; 78.57; 58.93; 53.57; 50.00;  1.79; 23.21
 52.86; 80.00; 80.00; 55.71; 52.86; 51.43;  1.43; 25.71
 53.57; 80.95; 82.14; 53.57; 51.19; 52.38;  1.19; 25.00
 52.04; 81.63; 82.65; 55.10; 48.98; 54.08;  2.04; 23.47
 51.79; 83.93; 81.25; 55.36; 49.11; 52.68;  1.79; 24.11
 53.97; 82.54; 80.95; 53.97; 49.21; 53.17;  1.59; 24.60
 53.57; 82.14; 81.43; 53.57; 50.00; 52.86;  1.43; 25.00
 54.55; 82.47; 80.52; 53.90; 48.70; 53.25;  1.30; 25.32
 52.98; 82.74; 81.55; 53.57; 49.40; 52.98;  1.19; 25.60
 53.30; 81.87; 81.87; 52.20; 51.10; 52.20;  1.10; 26.37
 52.55; 82.14; 82.14; 51.53; 50.51; 53.57;  1.02; 26.53
 51.90; 81.90; 80.95; 51.43; 49.05; 55.24;  1.43; 28.10
 50.89; 82.59; 81.70; 52.23; 49.11; 54.91;  1.79; 26.79
 51.26; 83.19; 81.09; 50.84; 50.00; 54.62;  1.68; 27.31
 51.19; 83.33; 81.35; 51.19; 49.60; 54.37;  1.59; 27.38
 51.13; 83.08; 81.58; 51.88; 49.25; 53.76;  1.50; 27.82
 50.36; 83.21; 82.14; 52.14; 48.93; 53.57;  1.43; 28.21
 51.36; 82.31; 81.97; 52.04; 49.66; 53.74;  1.36; 27.55
 51.30; 82.14; 82.47; 51.95; 49.68; 53.90;  1.62; 26.95
 50.93; 82.30; 81.99; 51.86; 49.38; 54.04;  1.86; 27.64
 50.30; 82.74; 82.44; 52.38; 49.70; 53.57;  2.08; 26.79
 51.14; 82.57; 82.57; 52.00; 49.71; 53.43;  2.29; 26.29
 50.55; 82.42; 82.97; 51.92; 50.27; 53.30;  2.20; 26.37
 50.79; 82.54; 83.07; 51.32; 49.74; 53.70;  2.38; 26.46
 50.51; 82.65; 83.67; 51.28; 50.00; 53.06;  2.30; 26.53
 50.74; 82.27; 83.25; 51.23; 50.25; 53.20;  2.46; 26.60
 50.71; 82.14; 83.33; 50.95; 50.95; 53.33;  2.38; 26.19
 50.46; 82.26; 83.64; 50.92; 50.92; 53.46;  2.30; 26.04
 49.55; 82.37; 83.93; 50.89; 51.79; 53.12;  2.23; 26.12
 50.22; 82.68; 83.77; 50.65; 51.52; 52.81;  2.16; 26.19
