BestMCTS3;HQL\\_BOT;SOISMCTS;Sakkirin;ToT-BoT
 75.00; 70.00; 55.56;  0.00; 37.50
 87.50; 65.00; 44.44;  0.00; 37.50
 83.33; 63.33; 51.85;  0.00; 37.50
 83.33; 65.00; 50.00;  0.00; 37.50
 82.46; 69.23; 51.11;  2.13; 34.15
 83.33; 68.75; 51.85;  1.72; 36.00
 81.33; 71.05; 53.97;  4.35; 32.20
 80.95; 72.73; 51.39;  6.25; 32.35
 79.57; 73.20; 54.76;  7.78; 28.95
 80.39; 72.64; 56.25;  9.90; 25.88
 80.18; 73.91; 56.48; 10.71; 24.47
 79.17; 75.00; 57.50; 11.38; 23.30
 79.07; 75.94; 58.46; 12.88; 20.69
 78.26; 76.76; 60.00; 14.18; 18.60
 76.87; 78.15; 61.33; 15.33; 16.90
 77.56; 78.12; 61.88; 16.35; 15.48
 76.33; 78.24; 62.72; 16.67; 14.63
 76.92; 77.78; 62.36; 16.95; 13.87
 77.44; 75.79; 63.10; 17.74; 13.19
 76.92; 76.50; 62.76; 17.95; 12.57
 77.88; 75.94; 62.93; 17.96; 12.00
 78.32; 75.45; 63.55; 17.97; 11.48
 78.72; 75.42; 63.68; 17.98; 11.01
 79.10; 75.81; 63.36; 17.99; 10.57
 78.66; 75.10; 64.75; 18.40; 10.17
 79.39; 74.81; 64.45; 18.77;  9.80
 79.70; 74.18; 64.93; 19.12;  9.45
 80.00; 73.94; 65.00; 19.43;  9.13
 80.28; 74.06; 65.17; 19.86;  8.70
 80.54; 74.17; 65.33; 20.27;  8.30
 80.46; 74.28; 65.81; 20.65;  7.95
 80.38; 74.06; 66.56; 21.00;  7.62
 80.55; 73.94; 66.26; 21.04;  7.41
 80.70; 74.12; 65.38; 21.36;  7.21
 81.13; 73.43; 65.42; 21.39;  7.02
 81.25; 73.06; 65.45; 21.41;  6.84
 81.70; 73.39; 64.93; 21.31;  6.67
 81.61; 73.96; 64.71; 21.22;  6.50
 81.27; 73.99; 65.27; 21.13;  6.35
 81.44; 74.02; 65.31; 21.05;  6.20
 81.36; 73.38; 66.09; 21.22;  6.06
 81.52; 73.24; 65.87; 21.62;  5.93
 81.44; 73.33; 65.89; 21.76;  5.80
 81.36; 73.20; 66.14; 21.90;  5.67
 81.51; 73.07; 66.44; 22.12;  5.50
 81.66; 72.94; 66.52; 22.56;  5.35
 82.01; 72.82; 66.60; 22.77;  5.19
 82.14; 72.71; 66.88; 22.96;  5.05
 82.62; 72.04; 66.87; 22.95;  4.96
 82.87; 71.80; 66.67; 22.94;  4.87
 82.72; 71.57; 66.86; 22.92;  4.78
 82.95; 71.15; 66.86; 22.91;  4.70
 82.87; 71.43; 66.86; 22.81;  4.62
 82.97; 71.51; 66.67; 22.91;  4.54
 83.06; 71.58; 66.48; 22.99;  4.46
 82.80; 72.01; 66.30; 23.08;  4.39
 82.72; 71.92; 66.49; 23.16;  4.32
 82.99; 71.84; 66.32; 23.24;  4.25
 82.91; 71.76; 66.50; 23.31;  4.18
